label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
upper,59,131,379,229,171.png,512,512
upper,62,128,374,233,179.png,512,512
upper,63,128,373,232,185.png,512,512
upper,64,127,369,236,191.png,512,512
upper,67,127,364,234,197.png,512,512
upper,69,125,361,236,203.png,512,512
upper,70,127,359,234,209.png,512,512
lower,49,145,436,216,805.png,512,512
lower,48,144,438,220,829.png,512,512
lower,44,139,441,221,861.png,512,512
lower,43,136,443,221,867.png,512,512
lower,42,136,442,223,873.png,512,512
lower,42,136,445,220,879.png,512,512
lower,41,135,444,220,885.png,512,512
lower,42,136,445,217,891.png,512,512
lower,43,134,443,218,897.png,512,512
lower,44,133,441,217,907.png,512,512
lower,44,134,440,214,915.png,512,512
lower,44,133,438,214,923.png,512,512
lower,45,132,438,213,933.png,512,512
lower,46,133,436,209,941.png,512,512
lower,47,133,434,205,951.png,512,512
lower,48,133,428,202,963.png,512,512
lower,50,133,427,199,975.png,512,512
